#T,10.211.55.8,128.39.37.79,5f9bfd3fd913e,0,7764,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,71966,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd49cffa4,0,cfc,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,42385,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd54519a8,0,f24e,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,55567,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd5f70f6e,0,fbd5,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,44637,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd6a80f29,0,fb68,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,50151,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd7429cd3,0,6d23,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,58421,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd7ea428d,0,c6c0,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,46958,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd8a08b1c,0,7d7a,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,50581,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd94cf8f1,0,ef8,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,52495,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfd9f66ede,0,9860,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,51987,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfda91cd82,0,3920,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,67671,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfdb3d8c9d,0,7958,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,49478,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfdbe0a80f,0,5d42,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,80287,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfdc8a6d5f,0,9747,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,44006,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfdd394983,0,ba73,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,49929,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfddd5355e,0,cdfb,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,46356,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfde75381d,0,ca9b,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,52579,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfdf1ca6a2,0,5b6e,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,47955,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfdfbc5c90,0,a4df,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,43278,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe05e1b5c,0,e570,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,51650,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe1086aac,0,9575,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,81351,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe1a8b313,0,4c6d,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,51763,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe25be4e4,0,19e8,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,48687,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe313705b,0,8db8,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,46773,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe3bd2f2b,0,ce3d,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,65959,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe469aa12,0,52a9,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,52424,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe50efdad,0,fe67,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,50912,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe5c4c336,0,3828,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,55503,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe6603d45,0,bd7c,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,42355,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe7118044,0,79cb,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,50711,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe7aee28b,0,16e6,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,58836,128.39.37.79
#T,10.211.55.8,128.39.37.79,5f9bfe85216d4,0,e1f8,1,200,3f04aaa8b5d7d587,0,44
"	",1,ff,53779,128.39.37.79
